Tiempo,Partida,Palabras a adivinar,Evento,Usuarie – Nick,Usuarie – Genero,Usuarie – Edad,Estado,Palabra,Nivel,
2021-06-14 22:21:52.567777,37,9,Intento,valen,Masculino,18,error,Rally Racer Dirt,2,
2021-06-14 22:21:58.257785,37,9,Intento,valen,Masculino,18,error,Rally Racer Dirt,2,
2021-06-14 22:22:00.632788,37,9,Intento,valen,Masculino,18,error,Manor Matters,2,
2021-06-14 22:22:02.357790,37,9,Intento,valen,Masculino,18,Ok,Manor Matters,2,
2021-06-14 22:22:03.897792,37,9,Intento,valen,Masculino,18,Ok,Rally Racer Dirt,2,
2021-06-14 22:22:03.907792,37,9,fin,valen,Masculino,18,Finalizada,Rally Racer Dirt,2,
2021-06-14 22:23:21.522901,38,9,inicio de partida,valen,Masculino,18,,,2,
2021-06-14 22:23:26.327908,38,9,Intento,valen,Masculino,18,error,Fruit Ninja�,2,
2021-06-14 22:23:28.687911,38,9,Intento,valen,Masculino,18,error,Super Bino Go - New Adventure Game,2,
2021-06-14 22:23:31.417915,38,9,Intento,valen,Masculino,18,Ok,Fruit Ninja�,2,
2021-06-14 22:23:33.652918,38,9,Intento,valen,Masculino,18,error,Super Bino Go - New Adventure Game,2,
2021-06-14 22:23:36.122922,38,9,Intento,valen,Masculino,18,error,Super Bino Go - New Adventure Game,2,
2021-06-14 22:23:40.542928,38,9,Intento,valen,Masculino,18,error,Stick Cricket Premier League,2,
2021-06-14 22:23:43.052931,38,9,Intento,valen,Masculino,18,error,Super Bino Go - New Adventure Game,2,
2021-06-14 22:23:45.172934,38,9,Intento,valen,Masculino,18,error,Stick Cricket Premier League,2,
2021-06-14 22:23:46.852937,38,9,Intento,valen,Masculino,18,Ok,Stick Cricket Premier League,2,
2021-06-14 22:23:52.212944,38,9,Intento,valen,Masculino,18,Ok,Super Bino Go - New Adventure Game,2,
2021-06-14 22:23:52.222944,38,9,fin,valen,Masculino,18,Finalizada,Super Bino Go - New Adventure Game,2,
2021-06-14 22:28:13.728311,39,4,inicio de partida,valen,Masculino,18,,,1,
2021-06-14 22:28:16.018314,39,4,Intento,valen,Masculino,18,Ok,Bubble Shooter,1,
2021-06-14 22:28:19.268319,39,4,Intento,valen,Masculino,18,Ok,Megapolis: city building simulator. Urban strategy,1,
2021-06-14 22:28:19.278319,39,4,fin,valen,Masculino,18,Finalizada,Megapolis: city building simulator. Urban strategy,1,
2021-06-14 22:28:21.068321,40,4,inicio de partida,valen,Masculino,18,,,1,
2021-06-14 22:28:23.203324,40,4,Intento,valen,Masculino,18,error,DomiNations,1,
2021-06-14 22:28:25.918328,40,4,Intento,valen,Masculino,18,error,DomiNations,1,
2021-06-14 22:28:27.873331,40,4,Intento,valen,Masculino,18,error,Eu Sei a M�sica,1,
2021-06-14 22:28:31.418336,40,4,Intento,valen,Masculino,18,error,Eu Sei a M�sica,1,
2021-06-14 22:28:33.838339,40,4,Intento,valen,Masculino,18,error,DomiNations,1,
2021-06-14 22:28:35.078341,40,4,Intento,valen,Masculino,18,Ok,Eu Sei a M�sica,1,
2021-06-14 22:28:35.798342,40,4,Intento,valen,Masculino,18,Ok,DomiNations,1,
2021-06-14 22:28:35.813342,40,4,fin,valen,Masculino,18,Finalizada,DomiNations,1,
2021-06-14 22:29:21.973406,41,4,inicio de partida,valen,Masculino,18,,,1,
2021-06-14 22:29:23.833409,41,4,Intento,valen,Masculino,18,Ok,'Smurfs'' Village',1,
2021-06-14 22:30:03.868465,42,4,inicio de partida,valen,Masculino,18,,,1,
2021-06-14 22:30:05.833468,42,4,Intento,valen,Masculino,18,error,Good Knight Story,1,
2021-06-14 22:30:07.368470,42,4,Intento,valen,Masculino,18,error,Good Knight Story,1,
2021-06-14 22:30:08.718472,42,4,Intento,valen,Masculino,18,error,Swamp Attack,1,
2021-06-14 22:30:10.588474,42,4,Intento,valen,Masculino,18,error,Good Knight Story,1,
2021-06-14 22:30:11.363475,42,4,Intento,valen,Masculino,18,error,Swamp Attack,1,
2021-06-14 22:30:12.113477,42,4,Intento,valen,Masculino,18,Ok,Good Knight Story,1,
2021-06-14 22:30:12.788477,42,4,Intento,valen,Masculino,18,Ok,Swamp Attack,1,
2021-06-14 22:30:12.793477,42,4,fin,valen,Masculino,18,Finalizada,Swamp Attack,1,
2021-06-14 22:30:54.688536,43,4,inicio de partida,valen,Masculino,18,,,1,
2021-06-14 22:32:42.276688,44,4,inicio de partida,valen,Masculino,18,,,1,
2021-06-14 22:33:04.446719,45,4,inicio de partida,valen,Masculino,18,,,1,
2021-06-14 22:33:34.456761,46,4,inicio de partida,valen,Masculino,18,,,1,
2021-06-14 22:33:36.491764,46,4,Intento,valen,Masculino,18,error,Mini World: Block Art,1,
2021-06-14 22:33:37.681766,46,4,Intento,valen,Masculino,18,error,Dubai Drift 2,1,
2021-06-14 22:33:38.936768,46,4,Intento,valen,Masculino,18,error,Dubai Drift 2,1,
2021-06-14 22:33:39.956769,46,4,Intento,valen,Masculino,18,error,Dubai Drift 2,1,
2021-06-14 22:33:40.921770,46,4,Intento,valen,Masculino,18,error,Mini World: Block Art,1,
2021-06-14 22:33:48.496781,46,4,Intento,valen,Masculino,18,error,Mini World: Block Art,1,
2021-06-14 22:33:50.211783,46,4,Intento,valen,Masculino,18,error,Dubai Drift 2,1,
2021-06-14 22:33:51.786786,46,4,Intento,valen,Masculino,18,error,Mini World: Block Art,1,
2021-06-14 22:33:52.646787,46,4,Intento,valen,Masculino,18,Ok,Mini World: Block Art,1,
2021-06-14 22:33:58.316795,46,4,fin,valen,Masculino,18,timeout,Dubai Drift 2,1,
2021-06-14 22:35:20.476910,47,4,inicio de partida,valen,Masculino,18,,,1,
2021-06-14 22:35:33.711928,47,4,Intento,valen,Masculino,18,Ok,SuperStar SMTOWN,1,
2021-06-14 22:35:47.066947,47,4,Intento,valen,Masculino,18,Ok,Gacha Studio (Anime Dress Up),1,
2021-06-14 22:35:47.076947,47,4,fin,valen,Masculino,18,Finalizada,Gacha Studio (Anime Dress Up),1,
2021-06-15 19:09:42.108413,48,4,inicio de partida,valen,Masculino,18,,,1,
2021-06-15 19:09:45.153417,48,4,Intento,valen,Masculino,18,error,Vancouver Island Wolf,1,
2021-06-15 19:09:46.978419,48,4,Intento,valen,Masculino,18,Ok,Vancouver Island Wolf,1,
2021-06-15 19:09:48.698422,48,4,Intento,valen,Masculino,18,Ok,Ethiopian Wolf,1,
2021-06-15 19:09:48.698422,48,4,fin,valen,Masculino,18,Finalizada,Ethiopian Wolf,1,
2021-06-15 19:20:05.104285,49,4,inicio de partida,valen,Masculino,18,,,1,
2021-06-15 19:20:07.224288,49,4,Intento,valen,Masculino,18,error,Mexican Gray Wolf,1,
2021-06-15 19:20:10.284292,49,4,Intento,valen,Masculino,18,Ok,Northwestern Wolf,1,
2021-06-15 19:20:12.019295,49,4,Intento,valen,Masculino,18,Ok,Mexican Gray Wolf,1,
2021-06-15 19:20:12.024295,49,4,fin,valen,Masculino,18,Finalizada,Mexican Gray Wolf,1,
2021-06-15 19:21:52.279435,50,4,inicio de partida,valen,Masculino,18,,,1,
2021-06-15 19:21:57.524442,50,4,Intento,valen,Masculino,18,error,Eastern Wolf,1,
2021-06-15 19:22:42.919506,51,4,inicio de partida,valen,Masculino,18,,,1,
